,id,text,time,label
0,5,Passion about technologies,09-03-2017 22:00,0
1,5,Frustrated about work,05-06-2017 13:05,0
2,5,ram is alone,04-08-2017 02:30,0
3,5,am in depression,08-09-2017 02:35,0
4,5,Feeling lonely,9/14/2017 20:09,1
5,19,I used to learn play on piano,11-12-2017 01:02,0
6,19,I feel stressed so much this week,9/29/2017 12:19,1
7,19,Feeling very happy,3/23/2017 8:51,1
8,19,Expectation is the mother of all frustration,03-01-2017 11:29,0
9,19,I am in danger,5/22/2017 16:06,0
10,19,Never make a decision when you are upset sad jealous or in love.,06-08-2017 21:41,0
11,19,I love music,01-04-2017 12:14,0
12,19,Feeling left out,8/29/2017 20:56,1
13,19,Irritated with worst behavior,7/20/2017 18:22,0
14,19,My amazing memory saves the day again!,1/18/2017 23:53,0
15,19,The word happy would lose its meaning if it were not balanced by sadness,9/15/2017 12:56,0
16,19,I feel stressed so much this week,05-04-2017 06:17,1
17,19,Celebrations at weekend,11-05-2017 08:42,0
18,19,Get thrilled for your surprises,02-09-2017 18:36,0
19,19,Feeling proud to be part of my company,12-12-2017 16:24,1
20,19,Frustrated about work,05-05-2017 02:49,1
21,19,Never make a decision when you are upset sad jealous or in love.,8/17/2017 17:18,0
22,19,I used to learn play on piano,3/18/2017 3:30,0
23,19,Feeling proud to be part of my company,7/21/2017 17:22,1
24,19,Some jerk stole my photo on tumblr,5/31/2017 3:05,0
25,19,Feeling Crazy,06-06-2017 17:26,1
26,19,Its sad to know I am done. But looking back Ive got a lot of great memories,7/31/2017 2:10,0
27,19,I used to learn play on piano,09-11-2017 17:28,0
28,19,Feeling tensed,6/24/2017 19:56,1
29,19,Mika used my photo on tumblr,1/30/2017 13:45,0
30,19,A strong emotion of attachment one feels for someone else,10-10-2017 13:53,1
31,19,Passion about technologies,05-02-2017 19:45,0
32,19,Frightened of ghost,11/26/2017 1:59,0
33,19,Frustrated about work,09-04-2017 05:52,0
34,19,Feeling nervous with higher authority,6/24/2017 10:22,1
35,19,Feeling tensed,7/23/2017 5:18,1
36,27,Feeling very happy,12/30/2017 11:55,1
37,27,Very little is needed to make a happy life it is all within yourself in your way of thinking,3/14/2017 19:03,0
38,27,Silence is one of the hardest arguments to refute,3/30/2017 2:25,0
39,27,The opposite of anger is not calmness its empathy,08-07-2017 06:09,0
40,27,Some jerk stole my photo on tumblr,12-07-2017 14:33,0
41,27,Feeling alone,6/21/2017 6:29,1
42,27,I like bike rides,3/13/2017 23:00,0
43,27,Be happy for this moment. This moment is your life,05-07-2017 02:01,0
44,27,Passion about mobiles,9/16/2017 0:42,0
45,40,I feel stressed this week,07-05-2017 00:23,1
46,40,I am in danger,12/20/2017 11:42,0
47,40,My amazing memory saves the day again!,02-04-2017 03:12,0
48,40,I feel stressed this week,12/20/2017 11:55,1
49,40,I was an accomplice in my own frustration,2/24/2017 19:44,0
50,40,Enjoyed a lot with friends,2/16/2017 4:56,0
51,40,Feeling proud to have a friend like you,01-02-2017 10:37,1
52,40,Feeling left out,12/21/2017 3:15,1
53,40,Cheerful with friends,12/30/2017 9:30,0
54,40,I feel relaxed,2/26/2017 17:05,1
55,40,Passion about technologies,5/26/2017 17:07,0
56,49,I am bored,8/16/2017 19:04,0
57,49,I am in danger,06-11-2017 21:08,0
58,49,Feeling nervous with higher authority,10/30/2017 6:37,1
59,49,I feel non-stressed,07-06-2017 15:18,1
60,49,Very little is needed to make a happy life it is all within yourself in your way of thinking,9/30/2017 9:41,0
61,49,Feeling lonely,10-03-2017 07:57,1
62,49,Feeling very happy,11/25/2017 15:03,1
63,49,Frustration is not a work plan,7/22/2017 15:28,0
64,49,Mika used my photo on tumblr,05-03-2017 00:52,0
65,69,I am in depression,5/23/2017 15:22,0
66,69,I feel non-stressed,7/30/2017 23:45,1
67,69,Unsatisfied with Higher Authority,06-04-2017 08:33,0
68,69,Silence is one of the hardest arguments to refute,05-12-2017 03:41,0
69,69,Feeling alone,10-10-2017 03:08,1
70,69,Afraid of new technologies,7/13/2017 1:21,0
71,69,Afraid of new technologies,11/24/2017 2:28,0
72,69,Feeling proud to be part of my company,9/28/2017 20:27,1
73,69,Frustration is not a work plan,5/29/2017 18:34,0
74,69,I like bike rides,10-02-2017 07:21,0
